availability_id,coach_id,day,period,available,restriction_reason
10,30,FRI,pm,False,time_restriction
11,30,SAT,am,True,
12,30,SAT,pm,True,
13,30,SUN,am,True,
14,30,SUN,pm,True,
1,31,MON,am,False,time_restriction
2,31,MON,pm,False,time_restriction
3,31,TUE,am,False,time_restriction
4,31,TUE,pm,False,time_restriction
5,31,WED,am,False,time_restriction
6,31,WED,pm,False,time_restriction
7,31,THU,am,False,time_restriction
8,31,THU,pm,False,time_restriction
9,31,FRI,am,False,time_restriction
10,31,FRI,pm,False,time_restriction
11,31,SAT,am,True,
12,31,SAT,pm,True,
13,31,SUN,am,True,
14,31,SUN,pm,True,
1,32,MON,am,False,time_restriction
2,32,MON,pm,False,time_restriction
3,32,TUE,am,False,time_restriction
4,32,TUE,pm,False,time_restriction
5,32,WED,am,False,time_restriction
6,32,WED,pm,False,time_restriction
7,32,THU,am,False,time_restriction
8,32,THU,pm,False,time_restriction
9,32,FRI,am,False,time_restriction
10,32,FRI,pm,False,time_restriction
11,32,SAT,am,True,
12,32,SAT,pm,True,
13,32,SUN,am,True,
14,32,SUN,pm,True,
1,33,MON,am,False,full_day_off
2,33,MON,pm,False,full_day_off
3,33,TUE,am,False,half_day_off
4,33,TUE,pm,True,
5,33,WED,am,True,
6,33,WED,pm,True,
7,33,THU,am,True,
8,33,THU,pm,True,
9,33,FRI,am,True,
10,33,FRI,pm,True,
11,33,SAT,am,True,
12,33,SAT,pm,True,
13,33,SUN,am,True,
14,33,SUN,pm,True,
1,34,MON,am,False,full_day_off
2,34,MON,pm,False,full_day_off
3,34,TUE,am,False,half_day_off
4,34,TUE,pm,True,
5,34,WED,am,True,
6,34,WED,pm,True,
7,34,THU,am,True,
8,34,THU,pm,True,
9,34,FRI,am,True,
10,34,FRI,pm,True,
11,34,SAT,am,True,
12,34,SAT,pm,True,
13,34,SUN,am,True,
14,34,SUN,pm,True,
1,35,MON,am,False,full_day_off
2,35,MON,pm,False,full_day_off
3,35,TUE,am,False,half_day_off
4,35,TUE,pm,True,
5,35,WED,am,True,
6,35,WED,pm,True,
7,35,THU,am,True,
8,35,THU,pm,True,
9,35,FRI,am,True,
10,35,FRI,pm,True,
11,35,SAT,am,True,
12,35,SAT,pm,True,
13,35,SUN,am,True,
14,35,SUN,pm,True,
1,36,MON,am,False,time_restriction
2,36,MON,pm,False,time_restriction
3,36,TUE,am,False,time_restriction
4,36,TUE,pm,False,time_restriction
5,36,WED,am,False,time_restriction
6,36,WED,pm,False,time_restriction
7,36,THU,am,False,time_restriction
8,36,THU,pm,False,time_restriction
9,36,FRI,am,False,time_restriction
10,36,FRI,pm,False,time_restriction
11,36,SAT,am,True,
12,36,SAT,pm,True,
13,36,SUN,am,True,
14,36,SUN,pm,True,
1,37,MON,am,False,full_day_off
2,37,MON,pm,False,full_day_off
3,37,TUE,am,False,half_day_off
4,37,TUE,pm,True,
5,37,WED,am,True,
6,37,WED,pm,True,
7,37,THU,am,True,
8,37,THU,pm,True,
9,37,FRI,am,True,
10,37,FRI,pm,True,
11,37,SAT,am,True,
12,37,SAT,pm,True,
13,37,SUN,am,True,
14,37,SUN,pm,True,
1,38,MON,am,False,full_day_off
2,38,MON,pm,False,full_day_off
3,38,TUE,am,False,half_day_off
4,38,TUE,pm,True,
5,38,WED,am,True,
6,38,WED,pm,True,
7,38,THU,am,True,
8,38,THU,pm,True,
9,38,FRI,am,True,
10,38,FRI,pm,True,
11,38,SAT,am,True,
12,38,SAT,pm,True,
13,38,SUN,am,True,
14,38,SUN,pm,True,
1,39,MON,am,True,
2,39,MON,pm,True,
3,39,TUE,am,False,half_day_off
4,39,TUE,pm,True,
5,39,WED,am,True,
6,39,WED,pm,True,
7,39,THU,am,True,
8,39,THU,pm,True,
9,39,FRI,am,True,
